Roll Number,Tool1,Tool2,Tool3,Final Verdict,,
21BCM002,Jira,Wrike,Microsoft Project,,,
21BCM006,Proofhub,Asana,JIRA,Mosaic,,
21BCM007,Jira,Asana,ClickUp,,,trello
21BCM008,Chisel,Asana,Plaky,,,
21BCM009,Jira,Airtable,ClickUp,,,
21BCM010,asana,jira,trello,,,
21BCM011,Jira,Asana,ClickUp,,,
21BCM012,Asana,Wrike,Basecamp,,,
21BCM013,Asana,Notion,Jira,,,
21BCM014,Jira,Asana,Basecamp,Jira,,
21BCM015,Tableau,Apache Hive,Notion AI,Notion AI,,
21BCM016,Jira,Trello,Microsoft Project ,,,
21BCM017,Asana,Ntask,ProofHub,,,
21BCM018,Airtable,Clickup,Basecamp,,,
21BCM019,Airtable,Asana,Trello,,,
21BCM021,Zoho,Notion,Backlog,,,
21BCM022,Wrike,Monday.com,Jira,,,
21BCM024,Asana,Jira,Trello,,,
21BCM025,Asana,Trello,Monday.com,,,
21BCM026,Asana,Trello,Jira,,,Morph
21BCM027,Asana,Proofhub,Trello,,,Canva
21BCM028,Asana,Proofhub,Wrike ,,,SlideGo
21BCM030,Asana,Wrike,Zoho,,,
21BCM031,Zoho,Wrike,Asana,,,
21BCM033,Asana,Monday.com,Trello,,,
21BCM034,Asana,Jira,Trello,,,
21BCM035,Asana,Jira,Zoho,,,
21BCM036,Zoho,ProofHub,Monday.com,,,
21BCM037,Jira,Asana,ProofHub,,,
21BCM038,ClickUp,Wrike,Asana,,,
21BCM040,Zoho,Asana,Monday.com,,,
21BCM041,Jira,Asana,Trello,,,
21BCM042,Basecamp,Smartsheet,Monday.com,,,
21BCM043,Asana,Monday.com,ClickUp,,,
21BCM044,Asana,Jira,Wrike,,,
21BCM045,Jira,Trello,Monday.com,,,
21BCM046,Jira,Monday.com,ClickUp,,,
21BCM047,Bitbucket,Monday.com,Notion,,,
21BCM048,Jira,Asana,Notion,Jira,,
21BCM049,Jira,Asana,Trello,,,
21BCM052,Asana,Monday.com,Basecamp ,Zoho,,
21BCM053,Asana,Jira,Basecamp,Asana,,
21BCM054,Jira,Slack,Monday.com,,,
21BCM055,Basecamp,Notion AI,Wrike,,,
21BCM056,Jira,Monday.com,Zoho,,,
21BCM057,Zoho,Wrike,Microsoft Project,,,
21BCM058,Jira,Bitbucket,Gitlab,Jira!!,,
21BCM059,Asana,Jira,ProofHub,,,
21BCM061,Asana,Jira,Trello,,,
21BCM062,Trello,Asana,Jira,,,
21BCM064,Trello,Jira,Monday.com,,,
21BCM065,Jira,Asana,Trello,,,
21BCM066,Teamwork ,Trello,Jira,,,
21BCM067,Jira ,Trello ,Asana,,,
21BCM068,clickup,bittix24,backlog,,,
21BCM069,Asana,Jira,Notion,,,
21BCM070,Jira ,Trello ,Asana ,,,
21BCM071,Asana,Jira,Trello,,,
21BCM072,Teamwork ,Scoro,Clickup,,,
21BCM073,Jira,Monday.com,Asana,,,
21BCM074,Teamwork ,ClickUp,Scoro,,,
21BCM075,Jira,Asana,Trello,Jira,,
21BCM076,Jira,Asana,Wrike,,,
21BCM077,Asana,Monday.com,Wrike,,,
21BCM078,Asana,Celoxis,Scoro,,,
21BCM079,Asana,Jira,Clickup,,,